cfr_id,category,source_level,active,mandatory,requirement_en,requirement_et,assessment,evidence,gap_and_next_action,proposed_owner,sources,repo_commit,cfr_commit,review_date
34,quality,expected,True,False,Load testing at twice expected users before production,Rakendused on läbinud koormustestid vähemalt kahekordse eeldatava kasutajamahuga enne toodangusse minekut.,Unverified,docs/juurutamine.md estimates tens of partners and hundreds of annual rounds; no 2x load-test evidence or explicit peak target found.,"Agree simultaneous users, uploads and deadline bursts; test at least 2x peak, including slow SMTP and concurrent SQLite writes.",QA / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
35,quality,expected,True,False,Unit tests for complex internal functions,Keerulisemad sisemised tarkvaralised funktsioonid on kaetud unit-testidega.,Met,"31 test files, 591 passing tests under Node 22; allocation, calendars, engine, migrations, imports, documents and authentication covered.",Preserve tests and add independent edge-case tests for the reproduced defects. Test count is not proof that every rule is correct.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
36,quality,recommended,True,False,Use RIA e-government style guide,Kasutajaliides kasutab Riigi Infosüsteemide Amet'i pakutavat e-riigi stiiliraamatut.,Not met,src/app/globals.css and custom kh-* UI implement a bespoke dark theme; no RIA design-system adoption documented.,Agree agency design-system requirements and apply approved components/style or document exception.,Design / Product owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
37,quality,expected,True,False,Supported eID browser compatibility,"Rakendus peab töötama veebisirvijates, mis toetavad eID baastarkvara kaht viimast versiooni.",Unverified,Chromium/Chrome suites passed; no evidence for the required supported browser/version matrix.,"Validate current officially supported eID browsers and versions, including keyboard and assistive technology combinations.",QA,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
38,quality,expected,True,False,HTML5 and CSS3 standards,Veebipõhine kasutajaliides järgib HTML5 ja CSS3 standardeid.,Partially met,Modern semantic HTML/React and CSS/Tailwind; rendered pages work in Chrome.,Run standards validation and cross-browser checks; functional Chrome tests do not establish full standards conformance.,Engineering / QA,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
39,quality,recommended,True,False,WCAG 2.1 AA,Rakendus vastab WCAG 2.1 AA tasemele,Not met,"axe 4.13 scans: primary buttons 2.53:1 contrast, colour-only links, unlabelled file input; sample PDF is untagged and has no language metadata.","Fix confirmed web failures, review PDF accessibility, and complete manual keyboard/screen-reader/zoom assessment plus accessibility statement. CFR says recommended; public-service accessibility obligations exist separately.",Design / Accessibility QA,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md | https://www.ttja.ee/avaliku-sektori-digiligipaasetavus,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
40,security,expected,True,False,Static code analysis,Tarkvara koodile rakendatakse staatilise koodi analüüsi.,Partially met,Strict TypeScript check runs in CI; lint command prompts to configure missing ESLint and exits unsuccessfully noninteractively.,Keep compiler checks; configure noninteractive lint/security analysis and actionable CI gates.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
41,security,required,True,True,Operational logging and audit stored outside app/database,Rakenduse tarkvara tööd logitakse ning audit-logi talletatakse rakendusest ning selle baasist eraldi.,Not met,src/server/audit.ts writes audit_events in the same SQLite transaction/database; stdout operational logs do not export that full audit trail.,"Ship auditable events to independently protected storage; define retention, access auditing, delivery failure handling and incident retrieval. Preserve transactional local logging.",Security / Platform / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
42,security,required,True,True,No personal data or session secrets in URLs,URL ei tohi sisaldada isikuandmeid või sessioonivõtit.,Not met,src/server/actions/auth.ts:116 redirects to /sisene/kood?e=<email>.,Replace email in query parameters with an opaque challenge reference or server-side flow state; redact historical access logs according to policy.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
43,security,required,True,True,Baseline ISKE K2T2S2 unless specified otherwise,"Kui ei ole määratud teisiti, peab rakendus olema kasutatav ISKE klassile K2T2S2 vastavate süsteemide loomisel.",Unverified,"No approved information classification, control mapping or security assessment found. CFR contains legacy ISKE terminology.","Agency security owner must determine current E-ITS obligations, classification and controls. Do not equate compliance with this old CFR file to current E-ITS compliance.",Security / Service owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md | https://www.ria.ee/uudised/kehtima-hakkavad-uued-infoturbenouded,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
44,security,expected,True,False,Server-side input validation,Kasutaja ja rakenduste (sealhulgas ka enda omade) sisendit kontrollitakse ja puhastatakse rakenduse poolel vastu rakenduse enda siseseid ootuseid.,Partially met,"Zod environment parsing, typed import-row validators and many engine guards; missing early-close deadline invariant and notification ownership check.","Enforce invariants at the server domain boundary; reject malformed caps, and bound workbook expansion/row counts and strings, with abuse tests.",Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
45,security,expected,True,False,Sanitize/filter outputs,Rakenduse väljundit tuleb alati puhastada ja filtreerida enne kasutamist.,Partially met,React escapes ordinary text; domain HTML templates escape inserted values; PDF denies external resource access.,"Positive implementation evidence, but no exhaustive stored-XSS, spreadsheet-formula and every-output sink assessment. Include those in security testing.",Engineering / Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
46,security,expected,True,False,Current approved cryptographic algorithms,Kasutada ajakohaseid krüptoalgoritme,Partially met,"CSPRNG session tokens, SHA-256, HMAC-SHA256 and timing-safe comparison in auth; protocol integrity comparison is incomplete.","Validate algorithms, key lengths, TLS settings and lifecycle against latest RIA guidance; correct protocol trust check and document tested session revocation.",Security / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
47,security,required,True,True,"TLS between user interfaces and components, including internal networks",Kasutajaliides ja tehnilised komponendid suhtlevad üle TLS/SSL'i,Partially met,Deployment guide requires edge TLS/HSTS but shows proxy-to-application HTTP; local server tested over HTTP.,"Verify actual government end-to-end TLS topology, including internal hops or approved exception. Local HTTP test is not evidence about public endpoint TLS.",Platform / Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
48,security,expected,True,False,TLS between technical components,Rakenduse tehnilised komponendid suhtlevad omavahel üle TLS/SSL'i,Partially met,"SMTP supports implicit TLS and required STARTTLS, but flags default off; internal application HTTP is documented.",Enforce approved TLS settings at production startup and platform; verify certificates and relay/proxy connections in deployed environment.,Platform / Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
49,data,expected,True,False,Retain business records when deleting,"Andmete kustutamine ei tohi kustutada tegelikke kirjeid andmebaasist, välja arvatud, kui kirjed pole mittefunktsionaalsed, ehk ei oma ärilist seost.",Partially met,Deactivation/cancellation and append-only confirmations/audit preserve history; engine.ts replaces draft round_trainings with physical deletion.,Define record retention and which transient draft associations may be physically replaced; test that all required historical business states remain reconstructable.,Data owner / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
50,data,required,True,True,At least UTF-8 data storage,Andmed peavad olema talletatud vähemalt UTF-8 enkoodingus.,Met,SQLite text and UTF-8 import/export paths; Estonian text exercised in unit/browser tests.,"Preserve Unicode end-to-end. Standard-font PDF transliteration is a separate display limitation, not proof of non-UTF-8 database storage.",Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
51,data,expected,True,False,ISO 8601 text dates/times,Aja esitamisel tekstikujul lähtuda standardist ISO 8601.,Met,Calendar data uses ISO day strings; instants stored as epoch milliseconds; Tallinn human-facing formatting explicit.,Keep timezone semantics in exported schema. Localised UI dates are explicitly allowed by the CFR notes.,Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
52,data,expected,True,False,National registry identifiers and country prefixes,Objektid identifitseerida registrikoodide abil.,Partially met,partners.reg_code exists; users/representatives are identified through email; no country-qualified verified personal ID.,"With identity integration, define national/foreign subject identifiers and representation mapping; qualify registry codes as required or document bounded scope.",Architecture / Data owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
53,data,expected,True,False,Address data system requirements,Rakendada aadressiandmete süsteemi nõudeid.,Partially met,trainings.county and location_text; free text can contain Estonian physical addresses; no ADS identifier/integration.,Determine which location values are addresses versus venue descriptions. Use official address data where applicable; document online-only/unspecified-location exceptions.,Data owner / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
54,data,expected,True,False,Classification system / EMTAK for economic activities,Rakendada klassifikaatorite süsteemi nõudeid.,Not applicable,No economic-activity field or EMTAK use in the reviewed data model.,Reassess if economic activity is added. Other classifier use is assessed separately in #61.,Data owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
55,data,required,True,True,Version all records containing integrity-class-2+ data,"Kui andmebaasis olevate andmete ISKE tervikluse klass on 2 või kõrgem, siis tuleb kõik klass 2 infot sisaldavad andmebaasi kirjed versioneerida.",Partially met,Publication/allocation snapshots and append-only confirmations/audit exist; many entity rows change in place; protocol rows are mutable.,"Assuming default T2, define all in-scope records and provide complete version history. Audit summaries and selected snapshots alone do not establish universal record versioning. Confirm classification with owner.",Data owner / Security / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
56,data,expected,True,False,Use RIA Data Tracker,Kasutatakse Riigi Infosüsteemide Ameti andmejälgijat.,Not met,No Andmejälgija interface or integration found; local audit UI is a different capability.,Determine applicability with the data controller and implement approved tracking integration or document exception.,Data owner / Architecture,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
57,data,required,True,True,Publish state information-system data descriptions in RIHA,Riigi infosüsteemi kuuluvate andmekogude andmekirjeldused on avalikustatud RIHAs.,Unverified,"No RIHA listing, JSON manifest or registration evidence supplied. Public register status/application boundary is not established by code.","Identify the responsible data collection/system, confirm RIHA obligation and publish/associate required descriptions. Do not infer that this tool must be a separate register.",Service owner / Data owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
58,data,expected,True,False,"Dataset, data-element descriptions and data dictionary",Infosüsteemile on koostatud andmekirjeldus.,Partially met,"Commented schema, technical overview, workbook field descriptions and business glossary exist.","Create governed dataset/element definitions with meaning, ownership, identifiers, constraints and retention; export in the receiving catalogue format.",Data owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
59,data,expected,True,False,Data quality model and measurable indicators,Infosüsteemile saab rakendada andmekvaliteedi mudelit.,Partially met,Validation/uniqueness rules address some correctness and conformity; no explicit five-dimension quality model or measurement specification.,"Define relevant completeness, timeliness, accuracy, conformity and uniqueness indicators and ownership at field/dataset level.",Data owner,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
60,data,expected,True,False,Export data quality measurements,Infosüsteemist saab kvaliteedi mõõtmise tulemusi välja võtta.,Not met,No stored quality-measurement runs or indicator-result export found.,"Implement export of the agreed #59 indicators, their units, scope and measurement timestamps; retain results per policy.",Data owner / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
61,data,expected,True,False,Integrate maintained official classifiers,Infosüsteem peab olema liidestatud ja kasutama klassifikaatorite haldajate poolt kehtestatud klassifikaatoreid.,Not met,COUNTIES and other enumerations are static source constants; no maintained classifier integration/versioning found.,Inventory genuine official classifiers versus app-specific statuses; source official values and validity periods through a maintained integration.,Data owner / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
62,data,required,True,True,Human- and machine-readable export with semantics,Andmeid saab eksportida masin- ja inimloetavas vormingus.,Partially met,PDF protocol and structured XLSX exports exist; canonical protocol JSON stays internal; complete documented machine export is absent.,"Define export scope and semantics, including decisions/evidence and personal-data filtering. Add stable JSON/CSV/XML export where required; XLSX is structured but current coverage is incomplete.",Data owner / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
63,security,required,True,True,No secrets in source or web documents,"Võtmeid, sertifikaate, salasõnu ja muud sensitiivset ei talletata koodihoidlas või veebidokumentides.",Met,Configuration uses env; current tracked-file basic key/token scan found no live-looking key material; .env.example is a template.,"Scoped result only: does not certify git history, deployed secrets or access controls. Run managed secret scanning and verify platform secret storage at handover.",Security / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
64,security,required,True,True,Resilience to external-system failure,Rakendus peab olema väliste süsteemide tõrgete suhtes vastupanuvõimeline (resilient).,Partially met,Business transactions commit before SMTP and failed deliveries retry; stranded queued-mail probe reproduced; requests await sequential dispatch.,"Use a durable worker that recovers queued/interrupted sends, with claims, retry/backoff and backlog alerts; isolate request latency from relay timeouts.",Engineering / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
65,security,draft,False,False,WAF rules during development,Arenduse käigus luua WAF reeglid.,Not met,No application-specific WAF rules supplied.,Draft only: include platform WAF decisions in threat modelling; do not treat this as an active mandatory CFR failure.,Security / Platform,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
66,security,draft,False,False,Attribute every action to a person,Kõik tegevused peavad olema isikustatud.,Partially met,User/action audit and act-as attribution exist; background jobs use system actors; notification read changes are not fully attributed.,Draft only: clarify system versus human actions and complete required audit coverage.,Security / Engineering,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
67,security,draft,False,False,Administrative MFA when MFA is used,"Kui kasutatakse mitmefaktorilist autentimist, siis sama kohustus on ka administratiivsetele funktsioonidele.",Not applicable,Application does not currently use MFA; email OTP is a single factor.,Draft and conditional. Apply equal or stronger administrator assurance when national identity/MFA is introduced.,Security,https://koodivaramu.eesti.ee/e-gov/cfr/-/blob/4d8b69cb1777952f92310adda22edb95bace4467/cfr.xml | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/tehniline-ulevaade.md | https://github.com/luukasilves/Kaskaadhankija/blob/65d2792b01f5f6d90691443af4ce11d260551fd0/docs/juurutamine.md,65d2792b01f5f6d90691443af4ce11d260551fd0,4d8b69cb1777952f92310adda22edb95bace4467,2026-09-14
